	text	id
0	Så får vi ordning på invandringen och integrationen Invandringen till Sverige behöver minska för att integrationen ska fungera bättre .	0
1	Förra året beviljades 95 000 uppehållstillstånd .	1
2	Det motsvarar ett nytt Växjö på bara ett år .	2
3	På tio år har nästan en halv miljon människor sökt asyl i Sverige och drygt 400 000 har fått asylrelaterade tillstånd .	3
4	Oproportionerligt många har kommit till Sverige jämfört med våra nordiska grannländer .	4
5	Samtidigt har integrationen misslyckats .	5
6	Arbetslösheten är idag fem gånger så hög bland utrikes födda som bland inrikes födda , och varannan invandrad person - runt 700 000 personer - är inte självförsörjande .	6
7	Faktum är att inget annat land i EU har så stor skillnad i arbetslöshet mellan inrikes och utrikes födda .	7
8	Den som vill få ordning på Sverige måste ta tag i detta .	8
9	Vi ska minska invandringen En målstyrd , stram och hållbar migrations-politik är en förutsättning för att integrationen ska fungera .	9
10	Vår integrationsförmåga ska vara styrande för nivån på invandringen .	10
11	Antalet asylsökande till Sverige behöver minska betydligt .	11
12	Av största vikt är att den som fått ett nej på asylansökan så fort som möjligt lämnar landet .	12
13	Vi riskerar annars ett växande skuggsamhälle , med social utsatthet , illegalt arbete och brottslighet - där särskilt barn drabbas hårt .	13
14	Moderaterna kommer att : • Införa ett volymmål för asylmottagandet på nordiska nivåer • Anpassa asyllagstiftningen efter den rättsliga miniminivån enligt EU-rätten • Avskaffa möjligheten till spårbyte , det vill säga möjligheten för en person som fått avslag på sin asylansökan att i stället få ett arbetstillstånd • Prioritera kvinnor och hbtq-personer i kvotflyktingmottagandet • År 2021 beviljades 95 000 uppehållstillstånd .	14
15	Det motsvarar ett nytt Växjö .	15
16	Vi ska ställa högre krav på självförsörjning och anpassning Vem vill bli en del av ett samhälle där ingen räknar med en ?	16
17	Det måste bli ett slut på de låga förväntningarnas politik .	17
18	Idag finns inga språkkrav för den som invandrat till Sverige - inte heller några krav på aktivitet för den som är långtidsarbetslös och lever på bidrag .	18
19	Och bidragen kan bli så höga när de staplas på varandra att det för många inte lönar sig alls att ta ett jobb .	19
20	Det finns idag omkring 50 000 hushåll som skulle omfattas av vårt förslag på bidragstak , varav majoriteten består av utrikes födda .	20
21	Arbetslinjen försvagas ytterligare av att regeringens höjning av a-kassan gjort att även de som nyss blivit arbetslösa tackar nej till jobb .	21
22	En förutsättning för att kunna få ett arbete är ofta att man kan tala begriplig svenska .	22
23	Moderaterna vill därför göra SFI effektivare .	23
24	Varje person som läser SFI ska få en individuell prestationsplan med kunskapsmål som han eller hon ska uppnå i sin utbildning .	24
25	Moderaterna kommer att : • Införa kvalificering till välfärden för nyanlända genom eget arbete eller genom permanent och laglig bosättning i landet • Ställa krav på heltidsaktiviteter för att få bidrag • Kräva grundläggande kunskaper i svenska för permanent uppehållstillstånd och medborgarskap • Ställa högre krav på den som deltar i SFI-undervisning - om individuella kunskapsmål inte uppnås ska bidragen kunna minska • Införa obligatorisk samhällsorientering med prov , där godkänt ska vara ett krav för medborgarskap • Utveckla samhällsorienteringen till att fokusera på grundläggande värderingar och hur vi lever i Sverige Vi ska se till att alla barn får rätt förutsättningar att klara skolan Inget barn ska behöva känna att möjligheterna i livet är uttömda redan innan det har börjat på allvar .	25
26	De enskilt viktigaste åtgärderna för att bryta segregationen handlar om kvaliteten i undervisningen och det svenska språket .	26
27	I dag börjar många barn som är födda i Sverige skolan utan att kunna tala eller förstå svenska , och får därför mycket sämre förutsättningar att klara sin skolgång .	27
28	Vi föreslår därför omfattande satsningar på svenska språket redan i tidig ålder .	28
29	Moderaterna kommer att : • Införa obligatorisk språkuppföljning vid 3 års ålder för att upptäcka barn som inte kan tala svenska • Införa obligatorisk språkförskola för barn som visar en bristande språkutveckling • Utöka lovskolan för barn som halkar efter Vi ska bekämpa kriminella klaner Hederskultur , organiserad brottslighet , penningtvätt och systematiskt bidragsfusk .	29
30	Det är några av de saker de kriminella klaner som etablerat sig i Sverige idag ägnar sig åt .	30
31	Det finns nu runt 40 kriminella klaner i Sverige , som har ett omfattande våldskapital och uttalade ambitioner att konkurrera med den svenska staten om kontrollen .	31
32	Klanen tillhandahåller ett eget system för rättsskipning , skydd mot yttre fiender och ett socialt skyddsnät till sina medlemmar .	32
33	I dessa familjer fostras barn tidigt in i en oacceptabel uppväxtmiljö med en tidigt utstakad brottsbana och ett liv i konflikt med det vanliga samhället .	33
34	Klanrättegångar hör inte hemma i Sverige .	34
35	De kriminella klanerna ska bekämpas .	35
36	Moderaterna kommer att : • Ge Brå i uppdrag att kartlägga de kriminella klaner som är aktiva i Sverige idag • Kriminalisera klanrättegångar och andra otillbörliga parallella rättsprocesser • Förbjuda kusinäktenskap • Inrätta en särskild klanenhet inom Polisen enligt tysk modell • Verka för att fler barn som växer upp i kriminella klaner ska omhändertas • Se till att fler kriminella klanmedlemmar utvisas	36
